Institute code,College,Branch code,Branch name,Allocation type,Category,Merit number,Percentile
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,STATE,GOPENS,45068,81.0090469
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,STATE,GSTS,62198,72.6119403
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,STATE,GNT2S,56019,75.867353
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,STATE,GNT3S,67376,69.6924231
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,STATE,GOBCS,47176,79.8081214
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,STATE,LOPENS,38817,83.878077
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,STATE,LSTS,70583,68.3823818
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,STATE,LVJS,42139,82.251586
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,STATE,LNT2S,67267,69.6924231
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,STATE,LOBCS,40903,83.0041152
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,STATE,PWDOPENS,132109,17.5985227
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,STATE,DEFOPENS,55489,76.0463981
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,STATE,TFWS,36423,84.9532361
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,STATE,PWDROBC,140685,4.9294633
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,STATE,ORPHAN,44019,81.2345291
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,STATE,EWS,48315,79.5863208
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,STATE,GOPENS,6729,97.3887196
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,STATE,GSCS,15657,93.8067312
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,STATE,GSTS,34266,85.9219677
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,STATE,GNT3S,16999,93.2108027
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,STATE,GOBCS,6987,97.3291438
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,STATE,LOPENS,4564,98.2315536
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,STATE,LSTS,54440,76.7173434
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,STATE,TFWS,8433,96.7339025
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,STATE,ORPHAN,10039,96.0680883
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,STATE,EWS,7092,97.2654813
1002,"Government College of Engineering, Amravati",100224610,Information Technology,STATE,GOPENS,10554,95.8828395
1002,"Government College of Engineering, Amravati",100224610,Information Technology,STATE,GSCS,18304,92.6711629
1002,"Government College of Engineering, Amravati",100224610,Information Technology,STATE,GSTS,44560,81.1192722
1002,"Government College of Engineering, Amravati",100224610,Information Technology,STATE,GVJS,20344,91.7514817
1002,"Government College of Engineering, Amravati",100224610,Information Technology,STATE,GNT2S,11000,95.6910814
1002,"Government College of Engineering, Amravati",100224610,Information Technology,STATE,GNT3S,24223,90.1789743
1002,"Government College of Engineering, Amravati",100224610,Information Technology,STATE,GOBCS,11739,95.3975994
1002,"Government College of Engineering, Amravati",100224610,Information Technology,STATE,LOPENS,7642,97.0482604
1002,"Government College of Engineering, Amravati",100224610,Information Technology,STATE,LSCS,20360,91.7514817
1002,"Government College of Engineering, Amravati",100224610,Information Technology,STATE,TFWS,11559,95.492343
1002,"Government College of Engineering, Amravati",100224610,Information Technology,STATE,DEFROBCS,26155,89.3951296
1002,"Government College of Engineering, Amravati",100224610,Information Technology,STATE,ORPHAN,12547,95.0827713
1002,"Government College of Engineering, Amravati",100224610,Information Technology,STATE,EWS,11206,95.654289
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,STATE,GOPENS,28186,88.4658665
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,STATE,GSCS,46913,80.0408747
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,STATE,GSTS,93403,53.6496624
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,STATE,GVJS,48417,79.520817
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,STATE,GNT2S,44580,81.1192722
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,STATE,GOBCS,35670,85.1907088
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,STATE,LOPENS,25067,89.8061335
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,STATE,LSCS,35282,85.3534944
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,STATE,LSTS,82552,60.9799222
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,STATE,LNT3S,85978,58.7124464
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,STATE,PWDOPENS,87477,58.0840122
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,STATE,DEFOPENS,131259,18.2192293
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,STATE,TFWS,18889,92.4568642
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,STATE,ORPHAN,40631,83.1704016
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,STATE,EWS,27763,88.6695314
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,STATE,GOPENS,14528,94.2498036
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,STATE,GSCS,27293,88.8028432
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,STATE,GVJS,30973,87.2266503
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,STATE,GNT3S,31133,87.2113119
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,STATE,GOBCS,15122,94.0316823
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,STATE,LSTS,116855,34.1365462
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,STATE,TFWS,16371,93.495874
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,STATE,PWDROBC,55078,76.2843676
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,STATE,ORPHAN,16345,93.495874
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,STATE,EWS,15356,93.9373698
1002,"Government College of Engineering, Amravati",100246610,Instrumentation Engineering,STATE,GOPENS,52345,77.7994669
1002,"Government College of Engineering, Amravati",100246610,Instrumentation Engineering,STATE,GSCS,79348,62.7898492
