Sr. No.,College Name,Placement %
1,"1002 - Government College of Engineering, Amravati",51.3%
2,"1005 - Sant Gadge Baba Amravati University,Amravati",87.9%
3,"1012 - Government College of Engineering,Yavatmal",20%
4,"1101 - Shri Sant Gajanan Maharaj College of Engineering,Shegaon",68.19%
5,"1105 - Prof. Ram Meghe Institute of Technology & Research, Amravati",81.12%
6,"1107 - P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus), Amravati",0%
7,"1114 - Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati",100%
8,"1116 - Shri Shivaji Education Society's College of Engineering and Technology, Akola",~10%
9,"1117 - Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad",>70%
10,"1119 - Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College",50–60%
11,"1120 - Jawaharlal Darda Institute of Engineering and Technology, Yavatmal",70–83%
12,"1121 - Shri Hanuman Vyayam Prasarak Mandals College of Engineering & Technology, Amravati",34.60%
13,"1123 - Dr.Rajendra Gode Institute of Technology & Research, Amravati",70–80%
14,"1125 - Dwarka Bahu Uddeshiya Gramin Vikas Foundation, Rajarshi Shahu College of Engineering",~20% 
15,"1126 - Shri. Dadasaheb Gawai Charitable Trust's Dr. Smt. Kamaltai Gawai Institute of Engineering & Technology, Darapur",NA
16,"1127 - Jagadambha Bahuuddeshiya Gramin Vikas Sanstha's Jagdambha College of Engineering and Technology, Yavatmal",NA
17,"1128 - Prof Ram Meghe College of Engineering and Management, Badnera",NA
18,"1130 - Vision Buldhana Educational & Welfare Society's Pankaj Laddhad Institute of Technology & Management Studies, Yelgaon", ~41.8%
19,"1180 - Sanmati Engineering College, Sawargaon Barde",~20–30%
20,"1182 - Padmashri Dr. V.B. Kolte College of Engineering, Malkapur",0%
21,"1265 - Mauli Group of Institutions, College of Engineering and Technology",37–50%
22,"1268 - Siddhivinayak Technical Campus, School of Engineering",0%
23,"1276 - Manav School of Engineering & Technology, Gut No",0%
24,"2008 - Government College of Engineering, Aurangabad",60–70%
25,"2020 - Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",~40%
26,"2021 - University Department of Chemical Technology, Aurangabad",90%
27,"2032 - Institute of Chemical Technology, Mumbai Marathwada off campus", ~80%
28,"2111 - Everest Education Society, Group of Institutions", ~75%
29,"2112 - Shree Yash Pratishthan, Shreeyash College of Engineering and Technology",~20.5% 
30,"2113 - G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",~40–60%
31,"2114 - Deogiri Institute of Engineering and Management Studies, Aurangabad", ~50–80%
32,"2116 - Matoshri Pratishan's Group of Institutions (Integrated Campus), Kupsarwadi",0%
33,"2127 - Mahatma Gandhi Missions College of Engineering, Hingoli Rd",~32.5% 
34,"2129 - M.S. Bidve Engineering College, Latur",~12–20
35,"2130 - Terna Public Charitable Trust's College of Engineering, Osmanabad",~89.2%
36,"2131 - Shree Tuljabhavani College of Engineering, Tuljapur",75–85%
37,"2133 - Mahatma Basaweshwar Education Society's College of Engineering, Ambejogai",0%
38,"2134 - Peoples Education Society's College of Engineering, Aurangabad",30–40%
39,"2135 - Hi-Tech Institute of Technology, Aurangabad",~35.6 % (42 placed out of 120 graduates)
40,"2136 - Aditya Engineering College , Beed",70–75 %
41,"2137 - Nagnathappa Halge Engineering College, Parli",0%
42,"2138 - Matsyodari Shikshan Sansatha's College of Engineering and Technology, Jalna",81.82%
43,"2146 - Adarsh Shikshan Prasarak Mandal's K. T. Patil College of Engineering and Technology, Osmanabad",60–70%
44,"2250 - Aurangabad College of Engineering, Naygaon Savangi",0%
45,"2252 - Marathwada Shikshan Prasarak Mandal's Shri Shivaji Institute of Engineering and Management Studies, Parbhani",65.22%
46,"2254 - Vilasrao Deshmukh Foundation Group of Institutions, Latur",~50–60%
47,"2282 - Aditya Education Trust's Mitthulalji Sarada Polytechnic, Nalwandi Road",0%
48,"2522 - STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur",96%
49,"2533 - CSMSS Chh. Shahu College of Engineering, Aurangabad",~25.2%
50,"3012 - Veermata Jijabai Technological Institute(VJTI), Matunga",~81.96%
51,"3014 - Sardar Patel College of Engineering, Andheri",85-90%
52,"3033 - Dr. Babasaheb Ambedkar Technological University, Lonere",~10.8%
53,"3035 - Usha Mittal Institute of Technology SNDT Women's University, Mumbai",75-85%
54,"3036 - Institute of Chemical Technology, Matunga",90-95%
55,"3042 - Government College of Engineering, Ratnagiri",70-80%
56,"3135 - Manjara Charitable Trust's Rajiv Gandhi Institute of Technology, Mumbai",80-85%
57,"3139 - Vidyalankar Institute of Technology,Wadala",75-85%
58,"3146 - Jawahar Education Society's Annasaheb Chudaman Patil College of Engineering,Kharghar",65-75%
59,"3147 - Saraswati Education Society, Yadavrao Tasgaonkar Institute of Engineering",70-80%
60,"3148 - Mahavir Education Trust's Shah & Anchor Kutchhi Engineering College, Mumbai",80-85%
61,"3154 - Saraswati Education Society's Saraswati College of Engineering,Kharghar Navi Mumbai",70-80%
62,"3175 - M.G.M.'s College of Engineering and Technology, Kamothe",65-75%
63,"3176 - Thakur College of Engineering and Technology, Kandivali",75-85%
64,"3182 - Thadomal Shahani Engineering College, Bandra",85-90%
65,"3183 - Anjuman-I-Islam's M.H. Saboo Siddik College of Engineering, Byculla",75-80%
66,"3184 - Fr. Conceicao Rodrigues College of Engineering, Bandra",80-85%
67,"3185 - Vivekanand Education Society's Institute of Technology, Chembur",85-90%
68,"3187 - N.Y.S.S.'s Datta Meghe College of Engineering, Airoli",70-80%
69,"3188 - Vasantdada Patil Pratishthan's College Of Engineering and Visual Arts, Sion",65-75%
70,"3189 - Bharati Vidyapeeth College of Engineering, Navi Mumbai",75-85% 
71,"3190 - Terna Engineering College, Nerul",75–90% 
72,"3192 - Smt. Indira Gandhi College of Engineering, Navi Mumbai",60–70%
73,"3193 - Shivajirao S. Jondhale College of Engineering, Dombivali",15–45%
74,"3194 - Vidyavardhini's College of Engineering and Technology, Vasai",~75%
75,"3196 - Lokmanya Tilak College of Engineering, Kopar Khairane",60–80% 
76,"3197 - Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi",~70% 
77,"3198 - Konkan Gyanpeeth College of Engineering, Karjat",30–60%
78,"3199 - Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle",~90%
79,"3200 - Hope Foundation and research center's Finolex Academy of Management and Technology, Ratnagiri",86.40%
80,"3201 - Rizvi Education Society's Rizvi College of Engineering, Bandra",~55%
81,"3203 - Atharva College of Engineering,Malad",~56%
82,"3204 - St. Francis Institute of Technology,Borivali",~80%
83,"3206 - S.S.P.M.'s College of Engineering, Kankavli",~20% 
84,"3207 - Mahatma Education Society's Pillai College of Engineering, New Panvel",~75%
85,"3208 - Don Bosco Institute of Technology, Mumbai",~82%
86,"3210 - Excelsior Education Society's K.C. College of Engineering and Management Studies and Research, Kopri",~50%
87,"3211 - S.I.E.S. Graduate School of Technology, Nerul",NA
